instrument,02/11/2017,03/11/2017,06/11/2017,07/11/2017,08/11/2017,09/11/2017
AAPL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
AAXJ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AIG,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AMD,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AMZN,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
AXP,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CAT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CELG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CL,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CMCSA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
COF,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CVS,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DUST,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
EWW,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
EWY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
FB,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GDX,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
GDXJ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
GOOGL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IWV,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
JPM,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KBWB,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MCD,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
MET,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MMM,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NEE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NKE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
NUGT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ORCL,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
QCOM,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
QLD,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
QQQ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RH,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLB,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
SO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
SQQQ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TQQQ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRV,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
UNP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
UPS,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
USB,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
VIG,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
VTI,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
VUG,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
VZ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WFC,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WYNN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
XLP,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
XOP,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
