instrument,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24
AMZN,True,False,False,True,False,False
BIIB,False,False,False,False,False,True
BITA,True,False,False,False,False,False
BK,False,False,True,False,False,False
BRK.B,False,False,True,False,False,False
CBPO,False,False,False,False,True,False
CVS,True,False,False,False,True,False
FAS,False,False,True,False,False,False
FXI,False,False,False,False,True,False
GD,False,True,False,False,False,False
GM,False,False,False,False,True,False
GOOGL,False,False,False,False,True,False
IBM,True,False,False,False,False,False
IWS,False,True,False,False,False,False
MA,False,False,False,True,False,False
MCHI,False,False,True,False,False,False
MET,True,False,False,False,False,False
MO,False,False,False,True,False,False
MON,False,False,False,False,False,True
RTN,False,True,False,False,False,False
SPG,False,False,True,False,False,False
TGT,False,False,False,False,True,False
VB,True,False,False,False,False,False
VFH,True,False,False,False,False,False
WMT,False,True,False,False,False,False
XLF,True,False,False,False,False,False
